m_cloth,v_w,v_m,v_k,v_b,m_al,m_cu,m_fe,m_tan,time,pH,r_a,g_a,b_a,r_1,g_1,b_1,r_2,g_2,b_2,r_3,g_3,b_3
0.12,7.5,7.5,0,0,0,0,0,0,5,6,181.67,142,142,180,141,141,185,141,140,180,144,145
0.13,7.5,7.5,0,0,0,0,0,0,15,6,186.33,148.67,151.33,188,148,151,185,150,154,186,148,149
0.14,7.5,7.5,0,0,0,0,0,0,30,6,183,140.67,144,183,141,144,184,143,146,182,138,142
0.12,7.5,7.5,0,0,0,0,0,0,60,6,181.33,140.67,146.33,182,140,144,182,142,147,180,140,148
0.12,7.5,7.5,0,0,0,0,0,0,120,6,176,137.67,141.67,177,137,140,177,139,143,174,137,142
0.19,5,10,0,0,0,0,0,0,5,6,185.33,145.33,145.33,184,145,146,185,146,146,187,145,144
0.14,5,10,0,0,0,0,0,0,15,6,184.67,143.67,140,186,146,144,186,143,140,182,142,136
0.13,5,10,0,0,0,0,0,0,30,6,181.33,137.67,138.67,181,137,140,181,138,140,182,138,136
0.11,5,10,0,0,0,0,0,0,60,6,177,137.67,140,179,139,141,178,137,135,174,137,144
0.13,5,10,0,0,0,0,0,0,120,6,176,132.33,131.33,176,133,132,176,132,131,176,132,131
0.16,10,5,0,0,0,0,0,0,5,6,188.67,149.67,155,187,148,154,189,147,151,190,154,160
0.16,10,5,0,0,0,0,0,0,15,6,186,147,148,188,151,152,184,143,142,186,147,150
0.17,10,5,0,0,0,0,0,0,30,6,184.33,146.67,153.67,182,146,155,186,147,152,185,147,154
0.18,10,5,0,0,0,0,0,0,60,6,180.33,145.33,149.67,181,148,154,180,140,144,180,148,151
0.17,10,5,0,0,0,0,0,0,120,6,177,136.33,141.33,173,139,145,180,137,141,178,133,138
0.16,0,15,0,0,0,0,0,0,5,6,181.33,140.33,135.67,180,141,138,182,141,133,182,139,136
0.16,0,15,0,0,0,0,0,0,15,6,181.33,141.33,140.67,181,141,142,181,142,138,182,141,142
0.1,0,15,0,0,0,0,0,0,30,6,175.67,131,131,180,133,133,172,129,129,175,131,131
0.15,0,15,0,0,0,0,0,0,60,6,176,131.33,129.33,177,131,130,176,131,129,175,132,129
0.1,0,15,0,0,0,0,0,0,120,6,173.33,127.33,125.67,171,124,123,173,125,122,176,133,132
0.11,7.5,7.5,0,0,0,0.05,0,0,5,6,192.67,164.67,159.67,193,166,162,193,165,160,192,163,157
0.13,7.5,7.5,0,0,0,0.05,0,0,15,6,192.67,166.67,160.67,192,167,162,194,169,161,192,164,159
0.13,7.5,7.5,0,0,0,0.05,0,0,30,6,189.67,162,157.33,189,162,158,188,161,154,192,163,160
0.14,7.5,7.5,0,0,0,0.05,0,0,60,6,188.33,160.33,156.67,189,160,158,189,162,156,187,159,156
0.08,7.5,7.5,0,0,0,0.05,0,0,120,6,188.67,161,156.33,187,159,156,189,162,158,190,162,155
0.14,7.5,7.5,0,0,0.05,0,0,0,5,6,197.67,161,150,199,164,155,199,162,150,195,157,145
0.16,7.5,7.5,0,0,0.05,0,0,0,15,6,197.67,157.33,144.33,198,159,149,197,157,139,198,156,145
0.11,7.5,7.5,0,0,0.05,0,0,0,30,6,193,151,144,193,155,149,191,149,142,195,149,141
0.1,7.5,7.5,0,0,0.05,0,0,0,60,6,197.67,151.33,142.67,198,153,145,198,155,144,197,146,139
0.12,7.5,7.5,0,0,0.05,0,0,0,120,6,192.67,144.67,140,193,145,140,191,143,138,194,146,142
0.1,7.5,7.5,0,0,0,0,0.05,0,5,6,175,160.67,156,178,164,160,168,159,154,179,159,154
0.09,7.5,7.5,0,0,0,0,0.05,0,15,6,170,156.33,149,176,161,153,167,154,147,167,154,147
0.1,7.5,7.5,0,0,0,0,0.05,0,30,6,169.33,152.33,147.67,172,155,151,165,150,144,171,152,148
0.13,7.5,7.5,0,0,0,0,0.05,0,60,6,174,161.33,153,171,157,150,185,174,165,166,153,144
0.13,7.5,7.5,0,0,0,0,0.05,0,120,6,163.67,150.67,146,162,150,145,163,149,145,166,153,148
0.13,7.5,7.5,0,0,0,0,0,0.05,5,6,185.67,154,143.33,187,154,143,185,155,146,185,153,141
0.12,7.5,7.5,0,0,0,0,0,0.05,15,6,186,151,137.67,187,152,141,185,151,134,186,150,138
0.1,7.5,7.5,0,0,0,0,0,0.05,30,6,185.67,148.33,136.33,185,148,137,186,147,131,186,150,141
